,US_GDP,US_PCE,US_CPI,US_CPI2,US_IP,EA_GDP,EA_PCE,EA_HICP,EA_IP,CH_GDP,CH_PCE,CH_CPI,CH_IP,UK_GDP,UK_PCE,UK_CPI,UK_CPI2,UK_IP,EUR_USD,USD_CNY,GBP_USD,GBP_CNY,EUR_CNY,EUR_GBP,USD_EUR,CNY_USD,USD_GBP,CNY_GBP,CNY_EUR,GBP_EUR
1990-03-01,,,5.237315875613735,5.19152475,62.4916,,,,,,,3.4,,,,6.2,8.232289,79.51553,,4.7339,1.6245,,,,,0.21124231606075328,0.6155740227762388,,,
1990-04-01,10083.855,6376.579,4.711616571892785,5.276985365,62.3511,,,,79.7110304571536,,,3.2,,267755.2,,7.7,9.910331,80.04213,,4.7339,1.6372,,,,,0.21124231606075328,0.610798924993892,,,
1990-05-01,,,4.365400161681476,5.166732439,62.5353,,,,,,,2.7,,,,8.2,10.23909,79.51553,,4.7339,1.6774,,,,,0.21124231606075328,0.5961607249314416,,,
1990-06-01,,,4.673650282030639,5.370697673,62.7479,,,,,,,1.11,,,,8.2,10.40571,80.67404,,4.7339,1.7103,,,,,0.21124231606075328,0.5846927439630475,,,
1990-07-01,10090.569,6401.841,4.819277108433728,5.516605952,62.6435,,,,80.1555275599976,,,1.1,,264959.8,,8.2,10.45457,78.77831,,4.7339,1.8098,,,,,0.21124231606075328,0.5525472427892585,,,
1990-08-01,,,5.702811244979911,5.836270781,62.8704,,,,,,,2.5,,,,8.9,10.84704,78.88362,,4.7339,1.9013,,,,,0.21124231606075328,0.525955924893494,,,
1990-09-01,,,6.169871794871806,5.930360317,62.8839,,,,,,,2.91,,,,9.2,10.85263,78.46235,,4.7342,1.8794,,,,,0.21122892991424103,0.5320847078854953,,,
1990-10-01,9998.704,6353.139,6.379585326953752,5.798506168,62.4973,,,,80.533350097415,,,3.1,,264048.2,,9.2,10.85121,78.35703000000001,,4.7339,1.9456,,,,,0.21124231606075328,0.5139802631578947,,,
1990-11-01,,,6.195393169181873,5.683108196,61.7175,,,,,,,3.7,,,,9.2,9.747884,77.93575,,4.9714,1.9642,,,,,0.20115058132518002,0.5091131249363609,,,
1990-12-01,,,6.254948535233562,5.651092078,61.2885,,,,,,,4.3,,,,9.2,9.601969,77.6198,,5.2352,1.9219,,,,,0.19101466992665037,0.5203184348821479,,,
1991-01-01,9951.916,6329.249,5.647058823529405,5.815290409,61.0842,,,,81.5598700108324,3300483.75,4411469.49765098,2.2,,263277.6,,8.6,9.362692,77.40916,,5.2352,1.9346,,,,,0.19101466992665037,0.5169027189083014,,,
1991-02-01,,,5.312500000000009,5.8623588,60.6387,,,,,,,1.8,,,,8.2,9.333558,77.40916,,5.2352,1.9641,,,,,0.19101466992665037,0.5091390458734281,,,
1991-03-01,,,4.821150855365497,5.474284579,60.2973,,,,,,,1.6,,,,8.3,8.632118,76.56661,,5.2352,1.8214,,,,,0.19101466992665037,0.5490282200505107,,,
1991-04-01,10029.51,6381.703,4.809930178432875,5.276160434,60.4524,,,,80.659945004583,,,1.3,,262945.7,,8.0,6.131298,75.51343,,5.2767,1.7497,,,,,0.18951238463433587,0.5715265474081271,,,
